cve_id,bucket,kev,kev_ransomware,epss_percentile,sources,vendor_product,description,top_aliases,manual_label,representability_type,scanner_modality,notes
CVE-2026-31732,CVE_ONLY,N,N,,cve-project,Linux:Linux,"In the Linux kernel, the following vulnerability has been resolved:

gpio: Fix resource leaks on errors in gpiochip_add_data_with_key()

Since commit aab5c6f20023 (""gpio: set device type for GPIO chips""),
`gdev->dev.release` is unset.  As a result, the reference count to
`gdev->dev` isn't dropped on",,,BINARY,HOST,"Vulnerability in the Linux kernel, classified as a binary issue."
CVE-2026-7221,CVE_ONLY,N,N,,cve-project,TencentCloudBase:CloudBase-MCP,A vulnerability was found in TencentCloudBase CloudBase-MCP up to 2.17.0. Affected is the function openUrl of the file mcp/src/interactive-server.ts of the component open-url API Endpoint. The manipulation of the argument req.body.url results in server-side request forgery. It is possible to launch ,,,CLOUD,CSPM,Vulnerability in a managed cloud service configuration.
CVE-2024-6211,UNREVIEWED_MIRROR,N,N,,ghsa-unreviewed,,,GHSA-X86M-HVGQ-RP2X,,OTHER,NONE,no description available
CVE-2026-42875,CVE_ONLY,N,N,,cve-project,external-secrets:external-secrets,"External Secrets Operator reads information from a third-party service and automatically injects the values as Kubernetes Secrets. Prior to 2.4.0, Namespaced SecretStore resources that used CAProvider with type ConfigMap could resolve CA material from another namespace when caProvider.namespace was ",,,PACKAGE,SBOM,The vulnerability is in a versioned package (external-secrets) used in Kubernetes.
CVE-2026-6580,CVE_ONLY,N,N,,cve-project,liangliangyy:DjangoBlog,"A security vulnerability has been detected in liangliangyy DjangoBlog up to 2.1.0.0. Affected is an unknown function of the file owntracks/views.py of the component Amap API Call Handler. Such manipulation of the argument key leads to use of hard-coded cryptographic key
 . The attack may be launched",,,PACKAGE,SBOM,Vulnerability in a package (DjangoBlog) with a versioned release.
CVE-2026-7689,CVE_ONLY,N,N,,cve-project,Dolibarr:ERP CRM,A security flaw has been discovered in Dolibarr ERP CRM up to 23.0.2. This vulnerability affects the function dol_verifyHash in the library htdocs/core/lib/security.lib.php of the component Online Signature Module. The manipulation results in improper verification of cryptographic signature. The att,,,PACKAGE,SBOM,"Vulnerability in a library used in Dolibarr ERP CRM, which is distributed as a package."
CVE-2026-32658,CVE_ONLY,N,N,,cve-project,Dell:Automation Platform,"Dell Automation Platform versions prior to 2.0.0.0, contains a missing authorization vulnerability. A low privileged attacker with remote access could potentially exploit this vulnerability, leading to Elevation of privileges.",,,SERVICE,NETWORK,Vulnerability in a service with remote access exploitability.
CVE-2025-47861,UNREVIEWED_MIRROR,N,N,,ghsa-unreviewed,,,GHSA-PC76-C4H2-349R,,OTHER,NONE,no description available
CVE-2026-1559,CVE_ONLY,N,N,,cve-project,"youzify:Youzify – BuddyPress Community, User Profile, Social Network & Membership Plugin for WordPress","The Youzify plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the 'checkin_place_id' parameter in all versions up to, and including, 1.3.6 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers, with Subscriber-level access ",,,SERVICE,NETWORK,"Vulnerability in a WordPress plugin, which is scanned at runtime."
CVE-2020-29598,UNREVIEWED_MIRROR,N,N,,ghsa-unreviewed,,,GHSA-573F-FGJG-8QCQ,,OTHER,NONE,no description available
CVE-2026-25775,CVE_ONLY,N,N,,cve-project,SenseLive:X3050,"A vulnerability in SenseLive X3050’s remote management service allows firmware retrieval and update operations to be performed without authentication or authorization. The service accepts firmware-related requests from any reachable host and does not verify user privileges, integrity of uploaded ima",,,SERVICE,NETWORK,Vulnerability in a remote management service with network exposure.
CVE-2024-7619,UNREVIEWED_MIRROR,N,N,,ghsa-unreviewed,,,GHSA-VXJP-XH3V-669F,,OTHER,NONE,no description available
CVE-2025-62829,UNREVIEWED_MIRROR,N,N,,ghsa-unreviewed,,,GHSA-JMR6-7W77-WP89,,OTHER,NONE,no description available
CVE-2026-35345,CVE_ONLY,N,N,,cve-project,Uutils:coreutils,"A vulnerability in the tail utility of uutils coreutils allows for the exfiltration of sensitive file contents when using the --follow=name option. Unlike GNU tail, the uutils implementation continues to monitor a path after it has been replaced by a symbolic link, subsequently outputting the conten",,,PACKAGE,SBOM,"The vulnerability is in a utility from a versioned package, fitting the PACKAGE category."
CVE-2025-34830,UNREVIEWED_MIRROR,N,N,,ghsa-unreviewed,,,GHSA-MV7R-XR4M-W3FQ,,OTHER,NONE,no description available
CVE-2026-32196,CVE_ONLY,N,N,,cve-project,Microsoft:Windows Admin Center,Improper neutralization of input during web page generation ('cross-site scripting') in Windows Admin Center allows an unauthorized attacker to perform spoofing over a network.,,,SERVICE,NETWORK,Vulnerability exists in a service that can be exploited over the network.
CVE-2026-40890,CVE_ONLY,N,N,,cve-project,gomarkdown:markdown,The package `github.com/gomarkdown/markdown` is a Go library for parsing Markdown text and rendering as HTML. Processing a malformed input containing a < character that is not followed by a > character anywhere in the remaining text with a SmartypantsRenderer will lead to Out of Bounds read or a pan,,,PACKAGE,SBOM,"The CVE is related to a Go library, which fits the PACKAGE category."
CVE-2023-3634,CVE_ONLY,N,N,,cve-project,Festo:MSE6-C2M-5000-FB36-D-M-RG-BAR-M12L4-AGD,"In products of the MSE6 product-family by Festo a remote authenticated, low privileged attacker could use functions of undocumented test mode which could lead to a complete loss of confidentiality, integrity and availability.",,,APPLIANCE,NETWORK,Vulnerability exists in a vendor-managed appliance with network exposure.
CVE-2024-30721,UNREVIEWED_MIRROR,N,N,,ghsa-unreviewed,,,GHSA-WVQC-RRC5-MP8P,,OTHER,NONE,no description available
CVE-2025-34356,UNREVIEWED_MIRROR,N,N,,ghsa-unreviewed,,,GHSA-2GF3-JH5Q-424W,,OTHER,NONE,no description available
CVE-2025-62632,UNREVIEWED_MIRROR,N,N,,ghsa-unreviewed,,,GHSA-4GH4-94F2-QH86,,OTHER,NONE,no description available
