cve_id,bucket,kev,kev_ransomware,epss_percentile,sources,vendor_product,description,top_aliases,manual_label,representability_type,scanner_modality,notes
CVE-2019-0193,PACKAGE_RANGE,Y,N,0.9979,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-Maven,Apache:Apache Solr,"In Apache Solr, the DataImportHandler, an optional but popular module to pull in data from databases and other sources, has a feature in which the whole DIH configuration can come from a request's ""dataConfig"" parameter. The debug mode of the DIH admin screen uses this to allow convenient debugging ",GHSA-3GM7-V7VW-866C,,,,
CVE-2016-0752,PACKAGE_RANGE,Y,N,0.9964,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-RubyGems,n/a:n/a,"Directory traversal vulnerability in Action View in Ruby on Rails before 3.2.22.1, 4.0.x and 4.1.x before 4.1.14.1, 4.2.x before 4.2.5.1, and 5.x before 5.0.0.beta1.1 allows remote attackers to read arbitrary files by leveraging an application's unrestricted use of the render method and providing a ",GHSA-XRR4-P6FQ-HJG7,,,,
CVE-2025-32432,PACKAGE_RANGE,Y,N,0.9947,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-Packagist,craftcms:cms,"Craft is a flexible, user-friendly CMS for creating custom digital experiences on the web and beyond. Starting from version 3.0.0-RC1 to before 3.9.15, 4.0.0-RC1 to before 4.14.15, and 5.0.0-RC1 to before 5.6.17, Craft is vulnerable to remote code execution. This is a high-impact, low-complexity att",GHSA-F3GW-9WW9-JMC3,,,,
CVE-2025-54313,PACKAGE_RANGE,Y,N,0.9323,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-npm,prettier:eslint-config-prettier,"eslint-config-prettier 8.10.1, 9.1.1, 10.1.6, and 10.1.7 has embedded malicious code for a supply chain compromise. Installing an affected package executes an install.js file that launches the node-gyp.dll malware on Windows.",GHSA-F29H-PXVX-F335,,,,
CVE-2012-0391,PACKAGE_RANGE,Y,N,0.9949,cisa-kev;cve-project;epss;ghsa-reviewed;osv-Maven,n/a:n/a,"The ExceptionDelegator component in Apache Struts before 2.2.3.1 interprets parameter values as OGNL expressions during certain exception handling for mismatched data types of properties, which allows remote attackers to execute arbitrary Java code via a crafted parameter.",GHSA-4WRR-9H5R-M92W,,,,
CVE-2016-7200,PACKAGE_RANGE,Y,N,0.9951,cisa-kev;cve-project;epss;ghsa-reviewed;osv-NuGet,n/a:n/a,"The Chakra JavaScript scripting engine in Microsoft Edge allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Scripting Engine Memory Corruption Vulnerability,"" a different vulnerability than CVE-2016-7201, CVE-2016-7202, CVE",GHSA-5WHG-J5FV-XCM2,,,,
CVE-2024-27348,PACKAGE_RANGE,Y,N,0.9996,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-Maven,Apache Software Foundation:Apache HugeGraph-Server,"RCE-Remote Command Execution vulnerability in Apache HugeGraph-Server.This issue affects Apache HugeGraph-Server: from 1.0.0 before 1.3.0 in Java8 & Java11

Users are recommended to upgrade to version 1.3.0 with Java11 & enable the Auth system, which fixes the issue.",GHSA-29RC-VQ7F-X335,,,,
CVE-2020-16009,PACKAGE_RANGE,Y,N,0.9932,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-NuGet,Google:Chrome,Inappropriate implementation in V8 in Google Chrome prior to 86.0.4240.183 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,GHSA-M7MF-48HP-5QMR,,,,
CVE-2023-5217,PACKAGE_RANGE,Y,N,0.8773,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-npm,Google:Chrome,Heap buffer overflow in vp8 encoding in libvpx in Google Chrome prior to 117.0.5938.132 and libvpx 1.13.1 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page. (Chromium security severity: High),GHSA-QQVQ-6XGJ-JW8G,,,,
CVE-2023-33246,PACKAGE_RANGE,Y,N,0.9997,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-Maven,Apache Software Foundation:Apache RocketMQ,"For RocketMQ versions 5.1.0 and below, under certain conditions, there is a risk of remote command execution. 

Several components of RocketMQ, including NameServer, Broker, and Controller, are leaked on the extranet and lack permission verification, an attacker can exploit this vulnerability by usi",GHSA-X3CQ-8F32-5F63,,,,
CVE-2022-4135,PACKAGE_RANGE,Y,N,0.2712,cisa-kev;cve-project;epss;ghsa-reviewed;osv-npm,Google:Chrome,Heap buffer overflow in GPU in Google Chrome prior to 107.0.5304.121 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted HTML page. (Chromium security severity: High),GHSA-995F-9X5R-2RCJ,,,,
CVE-2006-1547,PACKAGE_RANGE,Y,N,0.9464,cisa-kev;cve-project;epss;ghsa-reviewed;osv-Maven,n/a:n/a,"ActionForm in Apache Software Foundation (ASF) Struts before 1.2.9 with BeanUtils 1.7 allows remote attackers to cause a denial of service via a multipart/form-data encoded form with a parameter name that references the public getMultipartRequestHandler method, which provides further access to eleme",GHSA-7QWV-CWGJ-C8RJ,,,,
CVE-2025-68613,PACKAGE_RANGE,Y,N,0.9907,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-npm,n8n-io:n8n,"n8n is an open source workflow automation platform. Versions starting with 0.211.0 and prior to 1.120.4, 1.121.1, and 1.122.0 contain a critical Remote Code Execution (RCE) vulnerability in their workflow expression evaluation system. Under certain conditions, expressions supplied by authenticated u",GHSA-V98V-FF95-F3CP,,,,
CVE-2021-21311,PACKAGE_RANGE,Y,N,0.9992,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-Packagist,vrana:adminer,Adminer is an open-source database management in a single PHP file. In adminer from version 4.0.0 and before 4.7.9 there is a server-side request forgery vulnerability. Users of Adminer versions bundling all drivers (e.g. `adminer.php`) are affected. This is fixed in version 4.7.9.,GHSA-X5R2-HJ5C-8JX6,,,,
CVE-2020-10199,PACKAGE_RANGE,Y,N,0.9997,cisa-kev;cve-project;epss;ghsa-reviewed;osv-Maven,n/a:n/a,Sonatype Nexus Repository before 3.21.2 allows JavaEL Injection (issue 1 of 2).,GHSA-G2F6-V5QH-H2MQ,,,,
CVE-2018-7602,PACKAGE_RANGE,Y,Y,0.9997,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-Packagist,Drupal:core,"A remote code execution vulnerability exists within multiple subsystems of Drupal 7.x and 8.x. This potentially allows attackers to exploit multiple attack vectors on a Drupal site, which could result in the site being compromised. This vulnerability is related to Drupal core - Highly critical - Rem",DRUPAL-CORE-2018-004;GHSA-297X-J9PM-XJGG,,,,
CVE-2020-0601,PACKAGE_RANGE,Y,N,0.9991,cisa-kev;cve-project;epss;ghsa-unreviewed;go-vulndb;osv-Bitnami;osv-GIT;osv-Go,Microsoft:Windows,"A spoofing vulnerability exists in the way Windows CryptoAPI (Crypt32.dll) validates Elliptic Curve Cryptography (ECC) certificates.An attacker could exploit the vulnerability by using a spoofed code-signing certificate to sign a malicious executable, making it appear the file was from a trusted, le",BIT-GOLANG-2020-0601;GHSA-82JC-CV6X-R223;GO-2022-0535,,,,
CVE-2016-10033,PACKAGE_RANGE,Y,N,1.0000,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-Packagist,n/a:n/a,"The mailSend function in the isMail transport in PHPMailer before 5.2.18 might allow remote attackers to pass extra parameters to the mail command and consequently execute arbitrary code via a \"" (backslash double quote) in a crafted Sender property.",GHSA-5F37-GXVH-23V6,,,,
CVE-2018-11776,PACKAGE_RANGE,Y,N,0.9999,cisa-kev;cve-project;epss;ghsa-reviewed;osv-GIT;osv-Maven,Apache Software Foundation:Apache Struts,"Apache Struts versions 2.3 to 2.3.34 and 2.5 to 2.5.16 suffer from possible Remote Code Execution when alwaysSelectFullNamespace is true (either by user or a plugin like Convention Plugin) and then: results are used with no namespace and in same time, its upper package have no or wildcard namespace ",GHSA-CR6J-3JP9-RW65,,,,
